日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-10-12,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,良,曇,ボンボンベイビー,坂井瑠星,牡2,56.0,13,3,8.1,8,2:01.6,34.6,1.1,456,初出走,0,,矢作芳人,Galileo,中央,条件・未勝利
2025-10-13,東京,6,メイクデビュー東京,2歳新馬牝,,1600,芝,良,晴,フロンテアムーン,舟山瑠泉,牝2,52.0,17,11,43.5,5,1:34.6,34.8,0.4,414,初出走,750000,,国枝栄,メイショウサムソン,中央,条件・未勝利
2025-10-13,東京,6,メイクデビュー東京,2歳新馬牝,,1600,芝,良,晴,スカイドリーマー,三浦皇成,牝2,55.0,17,2,5.4,9,1:34.9,34.4,0.7,442,初出走,0,,木村哲也,Giant's Causeway,中央,条件・未勝利
2025-10-18,京都,2,2歳未勝利,2歳未勝利,,1800,ダート,稍重,曇,ライトフライヤー,菱田裕二,牡2,56.0,10,6,20.8,4,1:54.1,39.3,1.8,486,2,840000,,吉岡辰弥,Pivotal,中央,条件・未勝利
2025-10-18,京都,5,メイクデビュー京都,2歳新馬牝,,1600,芝,良,小雨,メイワメジェール,西村淳也,牝2,55.0,13,3,4.1,8,1:36.5,36.1,1.7,462,初出走,0,,茶木太樹,Oflee Wild,中央,条件・未勝利
2025-10-18,新潟,1,2歳未勝利,2歳未勝利,,1600,芝,良,曇,チェリヴェント,松山弘平,牡2,56.0,13,4,6.9,8,1:34.9,33.8,1.0,502,14,0,,清水久詞,Successful Appeal,中央,条件・未勝利
2025-10-18,東京,3,2歳未勝利,2歳未勝利,,1800,芝,良,晴,ダノンセフィーロ,川田将雅,牡2,56.0,8,1,1.6,1,1:47.5,34.4,-0.1,480,4,5600000,,福永祐一,Galileo,中央,条件・未勝利
2025-10-18,東京,5,メイクデビュー東京,2歳新馬,,1600,芝,良,晴,ハニージョー,C.ルメール,牡2,56.0,16,7,15.1,3,1:34.6,34.5,0.5,508,初出走,1900000,,矢島大樹,Mizzen Mast,中央,条件・未勝利
2025-10-19,京都,2,2歳未勝利,2歳未勝利,,1800,芝,良,曇,ボンボンベイビー,岩田望来,牡2,56.0,6,4,10.5,5,1:47.7,34.6,0.3,456,0,560000,,矢作芳人,Galileo,中央,条件・未勝利
2025-10-19,京都,4,メイクデビュー京都,2歳新馬,,1400,芝,良,曇,シティプロスパー,丹内祐次,牝2,56.0,17,15,172.6,13,1:23.9,36.0,1.7,444,初出走,0,,小栗実,City Zip,中央,条件・未勝利
